N,Title,PDF URL,Erschienen,Nummer,Ordnung,Auslaufen,Version,Studiengang,AbschlussArt
144,"Prüfungsordnung Elektrotechnik, Informationstechnik und Technische Informatik, Bachelor, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaciznntk,12.03.2024,2024/029,2. Änderungsordnung (Gesamtfassung),30.09.2025,2017,"Elektrotechnik, Informationstechnik und Technische Informatik",Bachelor
145,"Prüfungsordnung Elektrotechnik und Informationstechnik, Bachelor, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaciznkbn,12.03.2024,2024/028,1. Änderungsordnung (Gesamtfassung),,2021,Elektrotechnik u. Informationstechnik,Bachelor
146,Veröffentlichung der weiteren Tätigkeiten von Hochschulrat und Rektorat,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacixdgwq,08.03.2024,2024/027,Sonstiges,,,,nan
147,"Prüfungsordnung Architektur, Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacixbgmk,08.03.2024,2024/026,5. Änderungsordnung (Gesamtfassung),,2019,Architektur,Bachelor
148,Evaluationsordnung für Studium und Lehre,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacixbbzd,08.03.2024,2024/025,1. Änderungsordnung (Gesamtfassung),,,,nan
149,Ordnung des Centers für Lehr- und Lernservices (CLS) der RWTH Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacixauzi,08.03.2024,2024/024,1. Änderungsordnung (Gesamtfassung),,,,nan
150,"Prüfungsordnung Materialwissenschaften, Bachelor, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacimmvkf,27.02.2024,2024/021,Berichtigung der Ordnung,,2023,Materialwissenschaften,Bachelor
151,"Prüfungsordnung Werkstoffingenieurwesen, Bachelor, (10/2010 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacimmcbi,27.02.2024,2024/020,3. Änderungsordnung (Gesamtfassung),31.03.2029,2010 s,Werkstoffingenieurwesen,Bachelor
152,"Satzung des Clinical Trial Center Aachen, Medizinische Fakultät",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacieelkk,19.02.2024,2024/017,Ordnung,,,,nan
153,"Prüfungsordnung Ökotoxikologie, Master, (10/2016)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacidtirb,19.02.2024,2024/013,5. Änderungsordnung (Gesamtfassung),31.03.2028,2016,Ökotoxikologie,Master
154,Geschäftsordnung des Rektorats,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaachqxkno,29.01.2024,2024/005,10. Änderungsordnung (Gesamtfassung),,,,nan
155,Beitragsordnung des Studierendenwerks Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacheetfs,16.01.2024,2024/002,24. Änderungsordnung (Gesamtfassung),,,,nan
156,"Prüfungsordnung Große berufliche Fachrichtung Bautechnik (Studiengangmodell III), Lehramt an Berufskollegs, Master, (04/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacheelby,16.01.2024,2024/001,Ordnung,,2024,Bautechnik,Lehramt
157,"Prüfungsordnung Elektrotechnik, Informationstechnik und Technische Informatik, Master, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacgmuenw,20.12.2023,2023/142,5. Änderungsordnung (Gesamtfassung),31.03.2028,2018,Elektrotechn./Inform.Techn./Techn.Informatik,Master
158,"Prüfungsordnung Mathematik, Master, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacgcvcrg,08.12.2023,2023/139,Ordnung,,2024,Mathematik,Master
159,"Prüfungsordnung Resilient Civil Engineering (RCE), Master, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfzqidf,05.12.2023,2023/138,Ordnung,,2024,Resilient Civil Engineering (privatrechtlich),Master
160,"Prüfungsordnung Master of Public Administration in European Studies (MPA-ES), Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfzqaky,05.12.2023,2023/137,3. Änderungsordnung (Gesamtfassung),,2021,Public Administration in European Studies (privatrechtlich),Master
161,Richtlinien zur Graduiertenförderung,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfygrea,28.11.2023,2023/134,Richtlinie,,,,nan
162,"Prüfungsordnung Unterrichtsfach Informatik, Lehramt an Berufskollegs, Master (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfujyls,28.11.2023,2023/133,3. Änderungsordnung (Gesamtfassung),,2017,Informatik,Lehramt
163,"Prüfungsordnung Unterrichtsfach Informatik, Lehramt an Gymnasien und Gesamtschulen, Master (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfujnly,28.11.2023,2023/132,1. Änderungsordnung (Gesamtfassung),,2017,Informatik,Lehramt
164,"Prüfungsordnung Unterrichtsfach Informatik, Lehramt an Berufskollegs, Bachelor (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfujcxv,28.11.2023,2023/131,2. Änderungsordnung (Gesamtfassung),30.09.2027,2017,Informatik,Lehramt
165,"Prüfungsordnung Unterrichtsfach Informatik, Lehramt an Gymnasien und Gesamtschulen, Bachelor, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfuhzgx,28.11.2023,2023/130,3. Änderungsordnung (Gesamtfassung),30.09.2027,2017,Informatik,Lehramt
166,"Prüfungsordnung Physik, Master, (10/2013 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfqjdph,23.11.2023,2023/127,9. Änderungsordnung (Gesamtfassung),,2013 s,Physik,Master
167,"Prüfungsordnung Unterrichtsfach Technik, Lehramt an Gymnasien und Gesamtschulen, Bachelor (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfqikka,23.11.2023,2023/126,4. Änderungsordnung (Gesamtfassung),,2018,Technik,Lehramt
168,"Prüfungsordnung Master of Science in Sustainability Management, Master, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfmqzde,20.11.2023,2023/125,Ordnung,,2024,Sustainability Management,Master
