N,Title,PDF URL,Erschienen,Nummer,Ordnung,Auslaufen,Version,Studiengang,AbschlussArt
296,"Prüfungsordnung Große beruflichen Fachrichtung Maschinenbautechnik, Lehramt an Berufkollegs, Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabefsyno,07.09.2021,2021/150,1. Änderungsordnung (Gesamtfassung),,2020,Maschinenbau (Kombin.Studiengang),Master
297,"Prüfungsordnung berufliche Fachrichtung Maschinenbautechnik, Master, Lehramt an Berufskollegs (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabefrlkw,07.09.2021,2021/148,Ordnung,,2021,Maschinenbau (Kombin.Studiengang),Master
298,"Prüfungsordnung berufliche Fachrichtung Maschinenbautechnik, Master, Lehramt an Berufskollegs (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabefqiis,07.09.2021,2021/147,2. Änderungsordnung (Gesamtfassung),31.03.2029,2017,Maschinenbau (Kombin.Studiengang),Master
299,"Prüfungsordnung Psychologie, Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabeezshn,06.09.2021,2021/143,1. Änderungsordnung (Gesamtfassung),30.09.2027,2019,Psychologie,Bachelor
300,"Prüfungsordnung Empirische Bildungsforschung, Master, (10/2014)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabeezath,06.09.2021,2021/142,1. Änderungsordnung (Gesamtfassung),,2014,Empirische Bildungsforschung,Master
301,"Prüfungsordnung Digitale Medienkommunikation, Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabdveifx,27.08.2021,2021/141,Ordnung,,2021,Digitale Medienkommunikation,Master
302,Habilitationsordnung Medizinische Fakultät,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabdvdvat,27.08.2021,2021/140,2. Änderungsordnung (Gesamtfassung),,,,nan
303,"Prüfungsordnung Mathematik, Bachelor, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabdiaquk,10.08.2021,2021/136,Ordnung,,2021,Mathematik,Bachelor
304,Promotionsordnung Fakultät Elektrotechnik und Informationstechnik,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabdhzjbf,10.08.2021,2021/134,4. Änderungsordnung (Gesamtfassung),,,,nan
305,Fachschaftsordnung 10/1 Medizin,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabdhxend,10.08.2021,2021/130,2. Änderungsordnung (Gesamtfassung),,,,nan
306,"Ethik: Satzung der Ethikkommission, Fachgruppe Empirische Humanwissenschaften, Philosophische Fakultät",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabdcnvmf,03.08.2021,2021/129,2. Änderungsordnung (Gesamtfassung),,,,nan
307,"Prüfungsordnung Wirtschaftsingenieurwesen (Fachrichtung Werkstoff- und Prozesstechnik), Master, (10/2015)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabdbpmsk,02.08.2021,2021/125,6. Änderungsordnung (Gesamtfassung),,2015,Wirtschaftsingenieurwesen Werkstoff- u. Prozesstechnik,Master
308,"Prüfungsordnung Wirtschaftsingenieurwesen (Fachrichtung Elektrische Energietechnik), Master, (10/2015)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabcxntuo,27.07.2021,2021/115,4. Änderungsordnung (Gesamtfassung),,2015,Wirtschaftsingenieurwesen Elektr. Energietechnik,Master
309,"Prüfungsordnung Unterrichtsfach Biologie, Lehramt an Berufskollegs, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabcdgvwa,01.07.2021,2021/107,2. Änderungsordnung (Gesamtfassung),31.03.2028,2017,Biologie,Lehramt
310,"Prüfungsordnung Unterrichtsfach Biologie, Lehramt an Gymnasien und Gesamtschulen, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabcdgqtw,01.07.2021,2021/106,2. Änderungsordnung (Gesamtfassung),31.03.2028,2017,Biologie,Lehramt
311,"Prüfungsordnung Unterrichtsfach Biologie, Lehramt an Berufskollegs, Bachelor, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabcdgcvm,01.07.2021,2021/105,2. Änderungsordnung (Gesamtfassung),31.03.2028,2017,Biologie,Lehramt
312,"Prüfungsordnung Unterrichtsfach Biologie, Lehramt an Gymnasien und Gesamtschulen, Bachelor, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabcdfhdb,01.07.2021,2021/104,2. Änderungsordnung (Gesamtfassung),31.03.2028,2017,Biologie,Lehramt
313,Ordnung für die Deutsche Sprachprüfung für den Hochschulzugang ausländischer Studienbewerberinnen und Studienbewerber (DSH),https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabbznxcs,28.06.2021,2021/103,Ordnung,,,,nan
314,"Prüfungsordnung Soziologie, Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabawdsvk,25.05.2021,2021/095,Berichtigung der Ordnung,31.03.2027,2021,Soziologie,Master
315,"Ordnung zur Verleihung -außerplanmäßige Professorin-, außerplanmäßiger Professor, -Honorarprofessorin und Honorarprofessor-",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaejcefk,10.05.2021,2021/092,4. Änderungsordnung (Gesamtfassung),,,,nan
316,"Richtlinien zur Aufbewahrung, Aussonderung, Archivierung und Vernichtung von Akten und Unterlagen",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabafvdxi,04.05.2021,2021/088,1. Änderungsordnung (Gesamtfassung),,,,nan
317,"Prüfungsordnung Soziologie, Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabaahyot,29.04.2021,2021/087,Ordnung,31.03.2027,2021,Soziologie,Master
318,"Prüfungsordnung Production Systems Engineering, Master, (10/2013)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabaagqyo,29.04.2021,2021/084,8. Änderungsordnung,,2013,Production Systems Engineering (privatrechtlich),Master
319,"Prüfungsordnung Politikwissenschaft, Master, (10/2014 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaazvqmjo,23.04.2021,2021/079,2. Änderungsordnung (Gesamtfassung),30.09.2025,2014 s,Politikwissenschaft,Master
320,"Prüfungsordnung Deutsch als Zweitsprache, Zertifikat",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaazfvvai,06.04.2021,2021/073,Ordnung,,,Deutschkursus,nan
321,"Prüfungsordnung Materialwissenschaften, Master, (10/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaazeivbg,01.04.2021,2021/068,1. Änderungsordnung (Gesamtfassung),,2011 s,Materialwissenschaften,Master
322,"Prüfungsordnung Materialwissenschaften, Bachelor, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaayzitlb,26.03.2021,2021/063,1. Änderungsordnung (Gesamtfassung),30.09.2027,2017,Materialwissenschaften,Bachelor
323,"Prüfungsordnung Unterrichtsfach Wirtschaftslehre/Politik, Master, Lehramt an Berufskollegs (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaayotfrn,17.03.2021,2021/054,1. Änderungsordnung (Gesamtfassung),,2020,Wirtschaftswissenschaften/Politik Berufskolleg,Lehramt
324,"Prüfungsordnung Cognitive, Digital and Empirical English Studies, Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaycgknq,04.03.2021,2021/047,Ordnung,,2021,English Studies,Master
325,"Prüfungsordnung Laboratory Animal Science, Master, (10/2014 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaycgfim,04.03.2021,2021/045,1. Änderungsordnung (Gesamtfassung),,2014 s,Laboratory Animal Science (privatrechtlich),Master
326,Berufungsordnung,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaxegibn,04.02.2021,2021/025,4. Änderungsordnung (Gesamtfassung),,,,nan
327,Ordnung zur Zwischenevaluation von Juniorprofessorinnen und Juniorprofessoren,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaxefppg,04.02.2021,2021/024,Ordnung,,,,nan
328,Ordnung zum Tenure-Track-Verfahren an der RWTH-Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaxeferh,04.02.2021,2021/023,2. Änderungsordnung (Gesamtfassung),,,,nan
329,"Prüfungsordnung Mathematik, Bachelor, (10/2016)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaawqlcdx,13.01.2021,2021/019,Berichtigung der 5. Änderungsordnung (Gesamtfassung),30.09.2026,2016,Mathematik,Bachelor
330,Fachschaftsordnung 7/1 Philosophie,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaawqivxo,20.01.2021,2021/014,6. Änderungsordnung (Gesamtfassung),,,,nan
331,"Prüfungsordnung Periodontology, Master, 102021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaawqigth,20.01.2021,2021/013,Ordnung,,,Periodontology (privatrechtlich),Master
332,"Prüfungsordnung Unterrichtsfach Physik, Bachelor, Lehramt an Gymnasien und Gesamtschulen, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaawqhvbe,20.01.2021,2021/012,Berichtigung der 3. Änderungsordnung (Gesamtfassung),31.03.2027,2017,Physik,Lehramt
333,Geschäftsordnung des Fachschaftsrates der Fachschaft 5/2 Materialwissenschaft und Werkstofftechnik,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaawfgqga,08.01.2021,2021/010,3. Änderungsordnung (Gesamtfassung),,,,nan
334,Fachschaftsordnung 5/2 Materialwissenschaft und Werkstofftechnik,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaawfgkck,08.01.2021,2021/009,5. Änderungsordnung (Gesamtfassung),,,,nan
335,Grundsätze für akademische Ehrungen und Auszeichnungen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaavxkpli,18.12.2020,2020/211,6. Änderungsordnung (Gesamtfassung),,,,nan
336,"Prüfungsordnung Angewandte Geographie, Bachelor, (10/2013 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaavtixcm,15.12.2020,2020/203,4. Änderungsordnung (Gesamtfassung),,2013 s,Angew. Geographie,Bachelor
337,"Gesamtprüfungsordnung Elektrotechnik mit Orientierungssemester, Bachelor, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaviyqgq,03.12.2020,2020/194,2. Änderungsordnung (Gesamtfassung),,2018,Elektrotechnik mit Orientierungssemester,Bachelor
338,Fachschaftsordnung 10/2 Zahnmedizin,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaviycze,03.12.2020,2020/193,1. Änderungsordnung (Gesamtfassung),,,,nan
339,Fachschaftsordnung 3 Bauingenieurwesen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaavhnicf,02.12.2020,2020/190,3. Änderungsordnung (Gesamtfassung),,,,nan
340,Geschäftsordnung der Obleuteversammlung des Sportreferats der Studierendenschaft der RWTH Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaveanvz,26.11.2020,2020/187,1. Änderungsordnung (Gesamtfassung),,,,nan
341,"Prüfungsordnung Unterrichtsfach Physik, Bachelor, Lehramt an Gymnasien und Gesamtschulen, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaveabys,26.11.2020,2020/186,3. Änderungsordnung (Gesamtfassung),31.03.2027,2017,Physik,Lehramt
342,"Prüfungsordnung Unterrichtsfach Physik, Bachelor, Lehramt an Berufskollegs, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaavdzvhl,26.11.2020,2020/185,3. Änderungsordnung (Gesamtfassung),31.03.2027,2017,Physik,Lehramt
343,"Prüfungsordnung Mathematik, Master, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaavatkug,23.11.2020,2020/183,2. Änderungsordnung (Gesamtfassung),31.03.2027,2018,Mathematik,Master
344,"Prüfungsordnung Mathematik, Bachelor, (10/2016)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaavateok,23.11.2020,2020/182,5. Änderungsordnung (Gesamtfassung),30.09.2026,2016,Mathematik,Bachelor
345,Satzung des Kompetenzzentrums MINT-L4@RWTH,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaucaaow,30.10.2020,2020/173,1. Änderungsordnung (Gesamtfassung),,,,nan
346,"Prüfungsordnung Große berufliche Fachrichtung Bautechnik, Bachelor, Lehramt an Berufskollegs, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaubyiik,30.10.2020,2020/171,Ordnung,31.03.2026,2020,Bautechnik,Lehramt
347,"Prüfungsordnung berufliche Fachrichtung Bautechnik, Bachelor, Lehramt an Berufskollegs, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaubxwtm,30.10.2020,2020/170,Ordnung,,2020,Bautechnik,Lehramt
348,"Prüfungsordnung berufliche Fachrichtung Maschinenbau, Bachelor, Lehramt an Berufskollegs (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaatfufeb,12.10.2020,2020/167,Ordnung,,2020,Maschinenbautechnik,Lehramt
349,Habilitationsordnung Fakultät für Elektrotechnik und Informationstechnik,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaasvbthf,07.10.2020,2020/165,2. Änderungsordnung (Gesamtfassung),,,,nan
350,"Prüfungsordnung Unterrichtsfach Deutsch, Master, Lehramt an Berufskollegs (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaarfelag,18.08.2020,2020/145,Ordnung,,2020,Deutsch,Master
351,"Prüfungsordnung Unterrichtsfach Deutsch, Master, Lehramt an Gymnasien und Gesamtschulen (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaarfedne,18.08.2020,2020/144,Ordnung,,2020,Deutsch,Master
352,CLUSTERSTATUT ML4Q,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaqujbrr,05.08.2020,2020/138,Sonstiges,,,,nan
353,"Prüfungsordnung Unterrichtsfach Deutsch, Bachelor, Lehramt an Berufskollegs, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaqkgzvv,22.07.2020,2020/127,Ordnung,,2020,Deutsch,Lehramt
354,"Prüfungsordnung Unterrichtsfach Deutsch, Bachelor, Lehramt an Gymnasien und Gesamtschulen, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaqkgsqv,22.07.2020,2020/126,Ordnung,,2020,Deutsch,Lehramt
355,"Prüfungsordnung Unterrichtsfach Englisch, Master, Lehramt an Berufskollegs, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaqkgmoh,22.07.2020,2020/125,Berichtigung der Ordnung,,2020,Englisch,Lehramt
356,"Prüfungsordnung Unterrichtsfach Englisch, Master, Lehramt an Gymnasien und Gesamtschulen, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaqkgnhj,22.07.2020,2020/124,Berichtigung der Ordnung,,2020,Englisch,Lehramt
357,"Prüfungsordnung Unterrichtsfach Englisch, Bachelor, Lehramt an Berufskollegs, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaqhfncj,17.07.2020,2020/123,Berichtigung der Ordnung,,2020,Englisch,Lehramt
358,"Prüfungsordnung Unterrichtsfach Englisch, Bachelor, Lehramt an Gymnasien und Gesamtschulen, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaqhfmha,17.07.2020,2020/122,Berichtigung der Ordnung,,2020,Englisch,Lehramt
359,"Fakultätsordnung, Maschinenwesen",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaqcuupy,13.07.2020,2020/116,8. Änderungsordnung (Gesamtfassung),,,,nan
360,Gleichstellungsquote für Berufungen mit Tenure Track,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaqcnrar,10.07.2020,2020/115,Sonstiges,30.09.2024,,,nan
361,"Ethik: Satzung der Ethik-Kommission, Medizinischen Fakultät",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaapvwdgs,03.07.2020,2020/103,2. Änderungsordnung (Gesamtfassung),,,,nan
362,"Benutzungsordnung, Hochschulbibliothek",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaprakfm,29.06.2020,2020/102,1. Änderungsordnung (Gesamtfassung),,,,nan
363,Geschäftsordnung des Hochschulrates,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaapcvckz,09.06.2020,2020/089,5. Änderungsordnung (Gesamtfassung),,,,nan
364,"Prüfungsordnung berufliche Fachrichtung Textiltechnik, Lehramt an Berufskollegs, Bachelor, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaokihdh,26.05.2020,2020/079,1. Änderungsordnung (Gesamtfassung),31.03.2028,2017,Textiltechnik Berufskolleg,Lehramt
365,"Prüfungsordnung Technology Entrepreneurship, Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaokhvwx,26.05.2020,2020/078,1. Änderungsordnung (Gesamtfassung),,2020,Technology Entrepreneurship (privatrechtlich),Master
366,Satzung für das Auswahlverfahren in bundesweit zulassungsbeschränkten Studiengängen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaanwqahe,06.05.2020,2020/065,Ordnung,,,,nan
367,Ergänzende Bestimmungen des Graduiertenkollegs Mittelstadt als Mitmachstadt -zur Rahmenordnung der Rheinisch-Westfälische Technische Hochschule Aachen zur Vergabe von Stipendien (Stipendienrahmenordnung)-,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaantxjav,30.04.2020,2020/064,Sonstiges,,,,nan
368,"Prüfungsordnung Unterrichtsfach Englisch, Master, Lehramt an Berufskollegs, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaamfwbot,23.03.2020,2020/048,Ordnung,,2020,Englisch,Lehramt
369,"Prüfungsordnung Unterrichtsfach Englisch, Master, Lehramt an Gymnasien und Gesamtschulen, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaamfvzoa,23.03.2020,2020/047,Ordnung,,2020,Englisch,Lehramt
370,"Prüfungsordnung Unterrichtsfach Englisch, Bachelor, Lehramt an Berufskollegs, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaamfvpbu,23.03.2020,2020/046,Ordnung,,2020,Englisch,Lehramt
371,"Prüfungsordnung Unterrichtsfach Englisch, Bachelor, Lehramt an Gymnasien und Gesamtschulen, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaamfvmky,23.03.2020,2020/045,Ordnung,,2020,Englisch,Lehramt
372,Satzung für die Vergabe des Brigitte-Gilles-Preises,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaamennpq,19.03.2020,2020/044,1. Änderungsordnung (Gesamtfassung),,,,nan
373,"Prüfungsordnung Theologie und Globale Entwicklung, Master (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaajwfpao,13.01.2020,2020/001,Ordnung,,2020,Theologie und Globale Entwicklung,Master
374,"Gesamtprüfungsordnung Bauingenieurwesen mit Orientierungssemester, Bachelor, (04/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaiwuccv,06.12.2019,2019/207,Ordnung,,2020,Bauingenieurwesen,Bachelor
375,Habilitationsordnung Fakultät für Maschinenwesen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaitekbk,04.12.2019,2019/191,2. Änderungsordnung (Gesamtfassung),,,,nan
376,Ordnung für das Sportreferat,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaijpsnt,22.11.2019,2019/190,2. Änderungsordnung (Gesamtfassung),,,,nan
377,"Prüfungsordnung Master of Science in Management and Engineering in Computer Aided Mechanical Engineering (MME-CAME) der RWTH Aachen und der Maatricht School of Management, Master, (10/2016)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaahambgk,16.10.2019,2019/171,2. Änderungsordnung (Gesamtfassung),30.09.2024,2016,Management and Engineering in Computer Aided Mechanical Engineering (privatrechtlich),Master
378,Benutzungsordnung Fachbereichsbibliothek Wirtschaftswissenschaften,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaejcpdk,23.07.2019,2019/115,Ordnung,,,,nan
379,"Prüfungsordnung Geschichtswissenschaft, Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaegtuxm,19.07.2019,2019/104,Ordnung,,2019,Geschichtswissenschaft,Master
380,"Prüfungsordnung Psychologie, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaddyeae,11.06.2019,2019/091,Ordnung,,2019,Psychologie,Master
381,Habilitationsordnung Fakultät für Bauingenieurwesen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaddxvqd,11.06.2019,2019/089,1. Änderungsordnung (Gesamtfassung),,,,nan
382,"Prüfungsordnung mit der Großen beruflichen Fachrichtung Bautechnik, Master, Lehramt an Berufskollegs, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaddxnxk,11.06.2019,2019/087,1. Änderungsordnung (Gesamtfassung),31.03.2025,2017,Bautechnik,Lehramt
383,Habilitationsordnung Fakultät für Architektur,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaacneved,14.05.2019,2019/076,1. Änderungsordnung (Gesamtfassung),,,,nan
384,Auswahlkriterien Auswahlverfahren im Studiengängen Zahnmedizin zum Wintersemester 2019/2020,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabuadol,11.04.2019,2019/066,Berichtigung der Ordnung,,,,nan
385,"Prüfungsordnung Production Systems Engineering, Master, (10/2013)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaablwtat,03.04.2019,2019/063,7. Änderungsordnung,,2013,Production Systems Engineering (privatrechtlich),Master
386,"Prüfungsordnung Große berufliche Fachrichtung Bautechnik, Bachelor, Lehramt an Berufskollegs, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabfsqjm,27.03.2019,2019/061,1. Änderungsordnung,31.03.2024,2017,Bautechnik,Lehramt
387,Fachschaftsordnung 6 Elektrotechnik und Informationstechnik,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabecfeo,20.03.2019,2019/055,2. Änderungsordnung (Gesamtfassung),,,,nan
388,"Prüfungsordnung Unterrichtsfach Deutsch, Bachelor, Lehramt an Berufskollegs, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabdxnbh,05.03.2019,2019/049,2. Änderungsordnung,30.03.2024,2017,Deutsch,Lehramt
389,"Prüfungsordnung Unterrichtsfach Deutsch, Bachelor, Lehramt an Gymnasien und Gesamtschulen, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabdxnav,05.03.2019,2019/048,2. Änderungsordnung,30.03.2024,2017,Deutsch,Lehramt
390,"Fakultätsordnung, Elektrotechnik und Informationstechnik",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabdvmhr,25.02.2019,2019/038,3. Änderungsordnung (Gesamtfassung),,,,nan
391,Auswahlkriterien Auswahlverfahren im Studiengängen Zahnmedizin zum Wintersemester 2019/2020,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabdvmbc,25.02.2019,2019/036,Ordnung,,,,nan
392,Auswahlkriterien Auswahlverfahren im Studiengang Humanmedizin zum Wintersemester 2018/2019 und zum Wintersemester 2019/2020,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabdvlzt,25.02.2019,2019/035,Berichtigung der Ordnung,,,,nan
393,"Fakultätsordnung, Georessourcen und Materialtechnik",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabdjwcv,23.01.2019,2019/012,4. Änderungsordnung (Gesamtfassung),,,,nan
394,Satzung der Biomaterialbank der Medizinischen Fakultät,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabbwbcl,02.10.2018,2018/191,Ordnung,,,,nan
395,"Prüfungsordnung Große beruflichen Fachrichtung Maschinenbautechnik, Lehramt an Berufkollegs, Bachelor, (10/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabbwaxn,02.10.2018,2018/190,1. Änderungsordnung,31.03.2025,2011 s,Maschinenbau (Kombin.Studiengang),Bachelor
396,"Prüfungsordnung Lehramt an Berufskollegs mit der beruflichen Fachrichtung Maschinenbautechnik, Bachelor, (10/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabbwauc,02.10.2018,2018/189,1. Änderungsordnung,31.03.2025,2011 s,Maschinenbau (Kombin.Studiengang),Bachelor
397,"Prüfungsordnung Production Systems Engineering, Master, (10/2013)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabbuhjp,28.09.2018,2018/184,6. Änderungsordnung,,2013,Production Systems Engineering (privatrechtlich),Master
398,"Promotionsordnung Fakultät Mathematik, Informatik und Naturwissenschaften",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabbniqr,11.09.2018,2018/174,7. Änderungsordnung (Gesamtfassung),,,,nan
399,"Habilitationsordnung Fakultät für Mathematik, Informatik und Naturwissenschaften",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabbniog,11.09.2018,2018/173,Ordnung,,,,nan
400,"Prüfungsordnung Production Systems Engineering, Master, (10/2013)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabbiiym,28.08.2018,2018/150,5. Änderungsordnung,,2013,Production Systems Engineering (privatrechtlich),Master
401,Ordnung des Lehrerbildungszentrums (LBZ),https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabbicpc,22.08.2018,2018/140,Berichtigung der 1. Änderungsordnung,,,,nan
402,"Fakultätsordnung, Architektur",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabbfauy,13.08.2018,2018/139,7. Änderungsordnung (Gesamtfassung),,,,nan
403,Richtlinie zur Förderung des wissenschaftlichen Austauschs mit internationalen Wissenschaftlerinnen und Wissenschaftler,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabbabpv,23.07.2018,2018/127,Richtlinie,,,,nan
404,Jahresabschluss des Studierendenwerks Aachen - Anstalt des öffentlichen Rechts - für das Geschäftsjahr vom 1. Januar bis zum 31. Dezember 2017,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabavyfm,13.07.2018,2018/125,Sonstiges,,,,nan
405,"Geschäftsordnung (GeschO), Gruppenvertretung der Wissenschaftlichen Mitarbeiterinnen und Mitarbeiter",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabanuyd,18.06.2018,2018/114,Ordnung,,,,nan
406,"Prüfungsordnung Unterrichtsfach Englisch, Bachelor, Lehramt an Gymnasien und Gesamtschulen, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaabamfgf,12.06.2018,2018/108,1. Änderungsordnung (Gesamtfassung),31.03.2024,2017,Englisch,Bachelor
407,"Prüfungsordnung Unterrichtsfach Englisch, Bachelor, Lehramt an Berufskollegs, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaamfvvxj,12.06.2018,2018/107,1. Änderungsordnung,31.03.2024,2017,Englisch,Lehramt
