Title,PDF URL,Erschienen,Nummer,Ordnung,Auslaufen
Gleichstellungsquote für Berufungen mit und ohne Tenure Track,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpawijj,12.09.2024,2024/112,Sonstiges,30.09.2027
"Prüfungsordnung Master of Science in Management and Engineering in Technology, Innovation, Marketing and Entrepreneurship (MME-TIME), Master, (10/2025)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacoyqevh,10.09.2024,2024/111,Ordnung,
Digitallehrkonzept der Fakultät für Architektur,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacoyptps,10.09.2024,2024/110,Sonstiges,
"Prüfungsordnung Georessourcenmanagement, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacoyopls,10.09.2024,2024/109,6. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Angewandte Geowissenschaften, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacoyodmw,10.09.2024,2024/108,6. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Georessourcenmanagement, Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacoynjdz,10.09.2024,2024/107,5. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Angewandte Geowissenschaften, Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacoymyfz,10.09.2024,2024/106,5. Änderungsordnung (Gesamtfassung),
"Berichtigung der studiengangspezifischen Prüfungsordnung Management Science and Mathematics, Master, (10/2024) vom 25.05.2024",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqxplio,04.09.2024,2024/105,Berichtigung,
"Prüfungsordnung Applied Health Informatics and Digital Medicine (AHI), Master, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacogyajc,22.08.2024,2024/100,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Applied Geophysics, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacogxfoc,22.08.2024,2024/099,4. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Data Analytics and Decision Science, Master, (10/2025)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacockuau,19.08.2024,2024/098,Ordnung,
"Prüfungsordnung Executive Master of Business Administration (EMBA), Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacoapzmc,15.08.2024,2024/097,5. Änderungsordnung (Gesamtfassung),
Promotionsordnung Fakultät Architektur,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacoapdvx,15.08.2024,2024/096,5. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Unterrichtsfach Biologie, Lehramt an Berufskollegs, Master, (10/2025)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnrlvrw,01.08.2024,2024/095,Ordnung,
"Prüfungsordnung Unterrichtsfach Biologie, Lehramt an Gymnasien und Gesamtschulen, Master, (10/2025)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnrldtv,01.08.2024,2024/094,Ordnung,
"Prüfungsordnung Biowissenschaften, Master, (10/2025)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnoxazt,29.07.2024,2024/093,Ordnung,
"Prüfungsordnung Nachhaltige Biotechnologie, Master, (10/2025)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnowxdf,29.07.2024,2024/092,Ordnung,
"Prüfungsordnung Transforming City Regions, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnotfhm,29.07.2024,2024/091,4. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Stadtplanung, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnmucjm,25.07.2024,2024/090,7. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Molekulare und Angewandte Biotechnologie, Bachelor, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnmsujl,25.07.2024,2024/089,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Biologie, Bachelor, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnmugec,25.07.2024,2024/088,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Architektur, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnlfska,24.07.2024,2024/087,9. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Architektur, Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnlfkab,24.07.2024,2024/086,6. Änderungsordnung (Gesamtfassung),
Auswahlkriterien für das Auswahlverfahren in dem örtlich zulassungsbeschränkten Bachelorstudiengang Psychologie (polyvalent),https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnlfdbh,24.07.2024,2024/085,Ordnung,
"Prüfungsordnung Logopädie, Modellstudiengang, Bachelor, (10/2012 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnimekr,23.07.2024,2024/084,2. Änderungsordnung (Gesamtfassung),30.09.2029
"Prüfungsordnung Lehr- und Forschungslogopädie, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacniltev,23.07.2024,2024/083,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Biologie, Master, (10/2016)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnilljb,23.07.2024,2024/082,8. Änderungsordnung (Gesamtfassung),31.03.2029
"Prüfungsordnung Molekulare und Angewandte Biotechnologie, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnikvte,23.07.2024,2024/081,7. Änderungsordnung (Gesamtfassung),31.03.2029
"Prüfungsordnung Biomedical Engineering, Master, (10/2015)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnihfun,23.07.2024,2024/080,5. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Software Systems Engineering, Master, (10/2025)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnbzhra,16.07.2024,2024/079,Ordnung,
"Prüfungsordnung Wirtschaftsmathematik, Bachelor, (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnbyqrx,16.07.2024,2024/078,2. Änderungsordnung (Gesamtfassung),
Richtlinie zur Vergabe der Deutschlandstipendien im Rahmen des Bildungsfonds der RWTH Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacmyigft,11.07.2024,2024/077,8. Änderungsordnung (Gesamtfassung),
Sozialordnung der Studierendenschaft,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacmyhytd,11.07.2024,2024/076,12. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Elektrotechnik und Informationstechnik, Master, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacmhqwrw,25.06.2024,2024/072,Ordnung,
"Prüfungsordnung Computer Engineering Master, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacmhpmwe,25.06.2024,2024/071,Ordnung,
"Prüfungsordnung Nachhaltige Werkstofftechnik, Master, (04/2025)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacmfsuxo,21.06.2024,2024/070,Ordnung,
"Prüfungsordnung Rohstoffingenieurwesen, Master, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacmfsrmt,21.06.2024,2024/069,9. Änderungsordnung (Gesamtfassung),31.03.2028
"Prüfungsordnung Nachhaltige Energieversorgung, Master, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacmfseju,21.06.2024,2024/068,9. Änderungsordnung (Gesamtfassung),31.03.2028
"Prüfungsordnung Nachhaltige Rohstoff- und Energieversorgung, Master, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacmfqaws,21.06.2024,2024/067,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Nachhaltige Rohstoff- und Energieversorgung, Bachelor, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacmahxbs,14.06.2024,2024/066,Ordnung,
"Prüfungsordnung Nachhaltige Werkstofftechnik, Bachelor, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaclryquo,04.06.2024,2024/064,Ordnung,
"Prüfungsordnung Management Science and Mathematics, Master, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaclnydxg,28.05.2024,2024/063,Ordnung,
"Prüfungsordnung Unterrichtsfach Politik, Bachelor, Lehramt an Berufskollegs (10/2013 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaclnxsvh,28.05.2024,2024/062,3. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Unterrichtsfach Wirtschaftslehre/Politik, Bachelor, Lehramt an Berufskollegs (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaclnxkfo,28.05.2024,2024/061,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Gesellschaftswissenschaften, Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaclnxexk,28.05.2024,2024/060,3. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Soziologie mit dem Schwerpunkt Technikforschung, Bachelor, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaclkxabz,23.05.2024,2024/059,Ordnung,
"Prüfungsordnung Soziologie mit dem Schwerpunkt Technikforschung, Bachelor, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaclkwtqz,23.05.2024,2024/058,3. Änderungsordnung (Gesamtfassung),31.03.2028
"Prüfungsordnung Soziologie, Master, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaclkuqtf,23.05.2024,2024/057,Ordnung,
"Prüfungsordnung Logopädie dual, Bachelor, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaackxaiag,02.05.2024,2024/056,Ordnung,
Fachschaftsordnung der Fachschaft 7/3 Kommunikationswissenschaft & Psychologie,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaackvmwfb,30.04.2024,2024/055,6. Änderungsordnung (Gesamtfassung),
Einschreibungsordnung,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaackqhqke,25.04.2024,2024/054,21. Änderungsordnung (Gesamtfassung),
Jahresabschluss des Studierendenwerks Aachen - Anstalt des öffentlichen Rechts - für das Geschäftsjahr vom 1. Januar bis zum 31. Dezember 2022,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaackgocfg,17.04.2024,2024/052,Sonstiges,
Ergänzungsbestimmungen zu den Übergreifenden Prüfungsordnungen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaackcqcof,12.04.2024,2024/050,Ordnung,
"Prüfungsordnung Werkstoffingenieurwesen, Master, (10/2010 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaackcpygk,12.04.2024,2024/049,7. Änderungsordnung (Gesamtfassung),
